iter	Passed	Remaining
0	9	281
1	17	244
2	25	226
3	32	213
4	40	202
5	48	194
6	56	185
7	63	174
8	71	165
9	78	157
10	86	149
11	94	141
12	102	133
13	109	125
14	117	117
15	124	108
16	131	100
17	139	92
18	146	84
19	154	77
20	161	69
21	167	61
22	175	53
23	182	45
24	190	38
25	197	30
26	204	22
27	212	15
28	219	7
29	226	0
